Project,TC,Approach,Policy,FromNode,ToNode
castor,TC_SqlDirtyType_List,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlNodeType_Set,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_Set,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Map,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Map,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_Array,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Array,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_List,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_List,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Simple,WALA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Simple,WALA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlNodeType_Map,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_Map,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Set,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Set,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Simple,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Simple,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Set,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Set,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Map,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Map,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_ClassMappingAccessType_List,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:readResolve,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:valueOf
castor,TC_ClassMappingAccessType_List,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeVisibilityType_Simple,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Simple,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeVisibilityType_Array,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Array,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_AccessMode_Map,WALA,0-1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_FieldTypeCollectionType_Array,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf
castor,TC_FieldTypeCollectionType_Array,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeVisibilityType_Simple,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Simple,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_ClassMappingAccessType_List,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:readResolve,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:valueOf
castor,TC_ClassMappingAccessType_List,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Array,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Array,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Array,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Array,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_SqlDirtyType_Simple,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:readResolve,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf
castor,TC_SqlDirtyType_Simple,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_BindingType2_List,WALA,0-1-CFA,org.castor.mapping.BindingType:readResolve,java.util.HashMap:get
castor,TC_AccessMode_Simple,SALSA,0-1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_FieldTypeVisibilityType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_AccessMode_Simple,WALA,1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_AccessMode_Array,WALA,1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_BindingType_Map,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Map,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Set,WALA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Set,WALA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Map,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Map,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeCollectionType_Set,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf
castor,TC_FieldTypeCollectionType_Set,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_Array,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Array,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_AccessMode_Simple,SALSA,1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_BindingType_Simple,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Simple,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_Set,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Set,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_List,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_List,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Array,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Array,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_SqlDirtyType_Simple,WALA,1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:readResolve,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf
castor,TC_SqlDirtyType_Simple,WALA,1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_Array,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_Array,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_AccessMode_Set,SALSA,1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_FieldMappingCollectionType_Map,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Map,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeCollectionType_Array,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf
castor,TC_FieldTypeCollectionType_Array,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlNodeType_List,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_List,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeCollectionType_Simple,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf
castor,TC_FieldTypeCollectionType_Simple,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_Map,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Map,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_SqlDirtyType_Array,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:readResolve,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf
castor,TC_SqlDirtyType_Array,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Map,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Map,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_Map,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_Map,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Array,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Array,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Set,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Set,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlNodeType_List,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_List,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_BindingType2_Array,SALSA,1-CFA,org.castor.mapping.BindingType:readResolve,java.util.HashMap:get
castor,TC_BindXmlNodeType_Map,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_Map,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeVisibilityType_Array,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Array,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Simple,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Simple,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_List,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_List,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_BindingType2_Set,WALA,0-1-CFA,org.castor.mapping.BindingType:readResolve,java.util.HashMap:get
castor,TC_BindingType2_Map,WALA,1-CFA,org.castor.mapping.BindingType:readResolve,java.util.HashMap:get
castor,TC_FieldMappingCollectionType_Simple,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Simple,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_SqlDirtyType_Set,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:readResolve,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf
castor,TC_SqlDirtyType_Set,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_Array,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_Array,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_SqlDirtyType_Map,WALA,1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:readResolve,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf
castor,TC_SqlDirtyType_Map,WALA,1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlNodeType_Simple,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_Simple,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_SqlDirtyType_List,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:readResolve,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf
castor,TC_SqlDirtyType_List,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.SqlDirtyType:valueOf,java.util.Hashtable:get
castor,TC_AccessMode_Set,WALA,0-1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_FieldTypeVisibilityType_Array,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Array,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Array,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Array,SALSA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_Set,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_Set,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Set,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Set,WALA,1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Map,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Map,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Array,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Array,WALA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Simple,SALSA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Simple,SALSA,1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_VisibilityType_List,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf
castor,TC_VisibilityType_List,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.VisibilityType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeVisibilityType_Simple,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf
castor,TC_FieldTypeVisibilityType_Simple,SALSA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeVisibilityType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Simple,SALSA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Simple,SALSA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_Simple,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Simple,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_List,WALA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_List,WALA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlNodeType_Set,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf
castor,TC_BindXmlNodeType_Set,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlNodeType:valueOf,java.util.Hashtable:get
castor,TC_BindingType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Simple,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Simple,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeCollectionType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf
castor,TC_FieldTypeCollectionType_Map,WALA,1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf,java.util.Hashtable:get
castor,TC_ClassMappingAccessType_Array,WALA,1-CFA,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:readResolve,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:valueOf
castor,TC_ClassMappingAccessType_Array,WALA,1-CFA,org.exolab.castor.mapping.xml.types.ClassMappingAccessType:valueOf,java.util.Hashtable:get
castor,TC_BindXmlAutoNamingType_Set,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:readResolve,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf
castor,TC_BindXmlAutoNamingType_Set,WALA,0-1-CFA,org.exolab.castor.mapping.xml.types.BindXmlAutoNamingType:valueOf,java.util.Hashtable:get
castor,TC_FieldTypeCollectionType_List,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:readResolve,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf
castor,TC_FieldTypeCollectionType_List,SALSA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.FieldTypeCollectionType:valueOf,java.util.Hashtable:get
castor,TC_FieldMappingCollectionType_Array,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:readResolve,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf
castor,TC_FieldMappingCollectionType_Array,SALSA,1-CFA,org.exolab.castor.mapping.xml.types.FieldMappingCollectionType:valueOf,java.util.Hashtable:get
castor,TC_TableAccessModeType_Map,WALA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:readResolve,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf
castor,TC_TableAccessModeType_Map,WALA,0-1-CFA,org.exolab.castor.xml.schema.annotations.jdo.types.TableAccessModeType:valueOf,java.util.Hashtable:get
castor,TC_AccessMode_Array,WALA,0-1-CFA,org.exolab.castor.mapping.AccessMode:readResolve,java.util.HashMap:get
castor,TC_BindingType_Set,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:readResolve,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf
castor,TC_BindingType_Set,WALA,0-1-CFA,org.exolab.castor.builder.binding.xml.types.BindingType:valueOf,java.util.Hashtable:get
